ip.checksum;ip.id;ip.len;ip.ttl;udp.checksum;pfcp.apply_action.buff;pfcp.apply_action.forw;pfcp.apply_action.nocp;pfcp.dst_interface;pfcp.duration_measurement;pfcp.f_seid.ipv4;pfcp.f_teid.ipv4_addr;pfcp.f_teid.teid;pfcp.f_teid_flags.ch;pfcp.f_teid_flags.ch_id;pfcp.f_teid_flags.v6;pfcp.flags;pfcp.ie_type;pfcp.msg_type;pfcp.node_id_ipv4;pfcp.outer_hdr_creation.ipv4;pfcp.outer_hdr_creation.teid;pfcp.pdr_id;pfcp.response_time;pfcp.response_to;pfcp.s;pfcp.seid;pfcp.seqno;pfcp.ue_ip_addr_ipv4;pfcp.volume_measurement.dlnop;pfcp.volume_measurement.dlvol;pfcp.volume_measurement.tonop;pfcp.volume_measurement.tovol;ip.opt.time_stamp
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x590f;0x1;312.0;63.0;0x17e9;False;True;False;False;1754053953.0;192.168.130.186;192.168.0.0;0x457;False;False;False;0x21;3.0;50.0;192.168.14.134;192.168.14.163;0x8ae;1.0;0.00777364614;673.0;True;0xb1417bbe23194000;2.0;193.19.249.112;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x590f;0x1;312.0;63.0;0x9887;False;True;False;False;1754053953.0;192.168.130.186;192.168.0.0;0x457;False;False;False;0x21;3.0;50.0;192.168.14.134;192.168.14.163;0x8ae;1.0;0.00777364614;673.0;True;0x8ae67f309ca92800;2.0;208.155.107.230;182.0;178950.0;182.0;178650.0;0.0
0x590f;0x1;312.0;63.0;0xc01e;False;True;False;False;1754053953.0;192.168.130.186;192.168.0.0;0x457;False;False;False;0x21;3.0;50.0;192.168.14.134;192.168.14.163;0x8ae;1.0;0.00777364614;673.0;True;0x90ed3ab9de252000;2.0;183.47.242.167;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x5a13;0x1;52.0;63.0;0x86e5;True;False;True;True;1754053953.0;192.168.14.134;192.168.130.179;0x457;False;False;False;0x20;96.0;1.0;192.168.14.134;192.168.14.134;0x67;1.0;0.00760839645;546.0;False;0x0;1.0;10.45.0.103;182.0;178950.0;182.0;178650.0;0.0
0x590f;0x1;312.0;63.0;0x913f;False;True;False;False;1754053953.0;192.168.130.186;192.168.0.0;0x457;False;False;False;0x21;3.0;50.0;192.168.14.134;192.168.14.163;0x8ae;1.0;0.00777364614;673.0;True;0xaedf2eb0ee5fe800;2.0;45.118.45.212;182.0;178950.0;182.0;178650.0;0.0
0x590f;0x1;312.0;63.0;0x8ba0;False;True;False;False;1754053953.0;192.168.130.186;192.168.0.0;0x457;False;False;False;0x21;3.0;50.0;192.168.14.134;192.168.14.163;0x8ae;1.0;0.00777364614;673.0;True;0xb705676dee556000;2.0;94.142.200.121;182.0;178950.0;182.0;178650.0;0.0
0x590f;0x1;312.0;63.0;0xa05;False;True;False;False;1754053953.0;192.168.130.186;192.168.0.0;0x457;False;False;False;0x21;3.0;50.0;192.168.14.134;192.168.14.163;0x8ae;1.0;0.00777364614;673.0;True;0xaddd47830371c000;2.0;178.135.233.236;182.0;178950.0;182.0;178650.0;0.0
